Phoneme	Rank	Ni	Nt	C	R	AverageFirstObservationPercent	FirstObservationSD
xʷ	132	7	3	0.429	127	9.9237	11.7910
r̪	133	0	0	0.000	199	100.0000	0.0
õ̞	134	0	0	0.000	200	100.0000	0.0
kː	136	16	9	0.562	101	8.4014	13.8483
hʷ	137	2	0	0.000	201	100.0000	0.0
qʼ	138	1	0	0.000	202	100.0000	0.0
ʁ	139	15	14	0.933	51	6.5179	24.2771
lː	140	19	9	0.474	100	35.4194	24.3772
ãː	141	4	3	0.750	102	11.4352	6.4955
tʲ	142	8	4	0.500	87	9.5843	16.4756
gʲ	143	3	2	0.667	170	55.6608	0.0
ai	144	12	8	0.667	94	6.8342	30.0935
mʷ	145	4	1	0.250	180	43.5786	0.0
ŋgʷ	146	4	0	0.000	203	100.0000	0.0
ħ	147	4	4	1.000	110	2.2883	4.7485
ʈʂ	148	5	2	0.400	140	25.8847	0.0
t'	149	2	2	1.000	156	15.4964	0.0
bʷ	150	2	1	0.500	181	94.9495	0.0
b̤	151	0	0	0.000	204	100.0000	0.0
cʰ	153	3	3	1.000	162	68.4536	22.7272
ø	154	14	9	0.643	113	24.7557	24.4349
bː	155	14	4	0.286	128	18.1885	37.9288
ndz	157	1	0	0.000	205	100.0000	0.0
sː	158	15	8	0.533	122	29.7569	36.4846
ẽ̞	159	0	0	0.000	206	100.0000	0.0
kʷʼ	160	1	0	0.000	207	100.0000	0.0
ʝ	161	5	4	0.800	117	19.5529	31.7869
ʉ	162	3	3	1.000	123	30.5556	16.0400
ɑː	163	11	8	0.727	97	24.6460	24.3835
au	164	16	7	0.438	104	7.1964	29.9316
ɤ	165	7	6	0.857	79	2.3910	24.7134
pː	166	11	4	0.364	129	24.7545	11.8340
tː	167	14	10	0.714	78	16.5910	31.2897
nz	168	1	1	1.000	182	43.1457	0.0
ɱv	169	1	0	0.000	208	100.0000	0.0
gʰ	170	1	0	0.000	209	100.0000	0.0
cçʰ	171	0	0	0.000	210	100.0000	0.0
qʷ	172	4	2	0.500	159	32.8604	0.0
n̠	173	0	0	0.000	211	100.0000	0.0
gː	174	13	1	0.077	171	5.8182	0.0
m̥	175	6	3	0.500	147	27.9461	13.5770
ʄ	176	2	0	0.000	212	100.0000	0.0
qʰ	177	4	2	0.500	148	22.1078	0.0
œ	178	17	9	0.529	118	25.3571	19.3926
pʲ	179	4	0	0.000	213	100.0000	0.0
õː	180	4	1	0.250	172	36.4508	0.0
mʲ	181	5	2	0.400	151	43.3276	0.0
