ID	ISO	Language	Family	Latitude	Longitude	Classification
nucl1310	mya	Burmese	Sino-Tibetan	20.7926	93.9665	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Burmish, Southern Burmish, Nuclear Southern Burmish, Old-Modern Burmese
stan1288	spa	Castilian Spanish	Indo-European	40.4414	-1.11788	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Castilic
stan1289	cat	Catalan	Indo-European	41.453	1.569	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance
east2379	aer	Central Arrernte	Pama-Nyungan	-23.3583	135.046	Pama-Nyungan, Arandic-Thura-Yura, Arandic, Aranda
cent2092	sml	Central Sama	Austronesian	7.004574	118.455978	Austronesian, Malayo-Polynesian, Basap-Greater Barito, Greater Barito linkage, Sama-Bajaw, Sulu-Borneo, Inner Sulu Sama
chic1273	trs	Chicahuaxtla Triqui	Otomanguean	17.1628	-97.8547	Otomanguean, Eastern Otomanguean, Amuzgo-Mixtecan, Mixtecan, Trique
chic1270	cic	Chikasaw	Muskogean	33.9452	-97.1301	Muskogean, Western Muskogean
yuec1235	yue	Chinese (Hong Kong Cantonese)	Sino-Tibetan	23.0	113.0	Sino-Tibetan, Sinitic, Classical-Middle-Modern Sinitic, Middle-Modern Sinitic, Yue-Pinghua
arag1245	arg	Chistabino (Pyrenean Aragonese)	Indo-European	42.4669	-0.00919	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Unshifted Western Romance
cici1237	awc	Cicipu	Atlantic-Congo	11.0417	5.54073	Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Central Kainji, Kambari-Cicipu
coco1260	coa	Cocos Malay	Austronesian	-12.193342	96.833679	Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Nuclear Malayic, Betawic
croa1245	hrv	Croatian	Indo-European	45.2006	16.826	Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic, Serbian-Croatian-Bosnian
mode1248	ell	Cypriot Greek	Indo-European	42.3224	24.8699	Indo-European, Graeco-Phrygian, Greek, East Greek, Koineic Greek
czec1258	ces	Czech spoken in Bohemia	Indo-European	49.873398	15.10437	Indo-European, Balto-Slavic, Slavic, West Slavic, Czech-Slovak, Czech-Lach
czec1258	ces	Czech spoken in Moravia	Indo-European	49.873398	15.10437	Indo-European, Balto-Slavic, Slavic, West Slavic, Czech-Slovak, Czech-Lach
czec1258	ces	Czech	Indo-European	49.873398	15.10437	Indo-European, Balto-Slavic, Slavic, West Slavic, Czech-Slovak, Czech-Lach
dani1285	dan	Danish	Indo-European	54.8655	9.36284	Indo-European, Germanic, Northwest Germanic, North Germanic, South Scandinavian
dari1249	prs	Dari Afghan Persian Formal	Indo-European	31.0405	67.3593	Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic
dari1249	prs	Dari Afghan Persian Informal	Indo-European	31.0405	67.3593	Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic
dutc1256	nld	Dutch Dialect of Maastricht	Indo-European	52.0	5.0	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Macro-Dutch, Middle-Modern Dutch, Modern Dutch
dutc1256	nld	Dutch dialect of Hasselt	Indo-European	52.0	5.0	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Macro-Dutch, Middle-Modern Dutch, Modern Dutch
dutc1256	nld	Dutch dialect of Weert	Indo-European	52.0	5.0	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Macro-Dutch, Middle-Modern Dutch, Modern Dutch
dutc1256	nld	Dutch	Indo-European	52.0	5.0	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Macro-Dutch, Middle-Modern Dutch, Modern Dutch
egaa1242	ega	Ega	Atlantic-Congo	5.56081	-5.41732	Atlantic-Congo, Volta-Congo
ersu1241	ers	Ersu	Sino-Tibetan	29.2867	102.213	Sino-Tibetan, Burmo-Qiangic, Na-Qiangic, Ersuic
esto1258	ekk	Estonian	Uralic	58.55	25.82	Uralic, Finnic, Coastal Finnic, Neva, Central Finnic
port1283	por	European Portuguese	Indo-European	39.91	-8.1	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance, Macro-Portuguese, Brazil-Portugal Portuguese
dutc1256	nld	Flemish-Brabant dialect of Orsmaal-Gussenhoven	Indo-European	52.0	5.0	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Macro-Dutch, Middle-Modern Dutch, Modern Dutch
stan1290	fra	French	Indo-European	48.0	2.0	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian, Oil, Central Oil, Macro-French, Global French
friu1240	fur	Friulian	Indo-European	46.1473	13.0493	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian
gali1258	glg	Galician	Indo-European	42.2446	-7.5343	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Galician Romance
gayo1244	gay	Gayo	Austronesian	4.3733	97.3456	Austronesian, Malayo-Polynesian, Northwest Sumatra-Barrier Islands
stan1295	deu	German	Indo-European	48.649	12.4676	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, High Franconian
gitx1241	git	Gitksan	Tsimshian	55.09	-128.08	Tsimshian, Nishga-Gitxsan
goem1240	ank	Goemai	Afro-Asiatic	8.74455	9.72453	Afro-Asiatic, Chadic, West Chadic, West Chadic A, West Chadic A.2-3, West Chadic A.3, Goemaic, Goemai-Chakato
basq1248	eus	Goizueta Basque	Basque	43.2787	-1.31622	Basque
balk1252	rmn	Greek Thrace Xoraxane Romane	Indo-European	42.67	21.17	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Romani
hakk1236	hak	Hakka Chinese	Sino-Tibetan	25.0	116.0	Sino-Tibetan, Sinitic, Classical-Middle-Modern Sinitic, Middle-Modern Sinitic
viet1252	vie	Hanoi Vietnamese	Austroasiatic	20.681188	105.774071	Austroasiatic, Vietic, Viet-Muong
haus1257	hau	Hausa	Afro-Asiatic	11.1513	8.7804	Afro-Asiatic, Chadic, West Chadic, West Chadic A, West Chadic A.1
hebr1245	heb	Hebrew	Afro-Asiatic	31.1056	35.0179	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Canaanite, Hebrewic
hind1269	hin	Hindi	Indo-European	25.0	77.0	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Western Hindi, Hindustani
hung1274	hun	Hungarian	Uralic	46.9068585714	19.6555271429	Uralic
ibib1240	ibb	Ibibio	Atlantic-Congo	5.15279	7.86688	Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Lower Cross, Central Lower Cross, Efik-Ibibio
nucl1417	ibo	Igbo	Atlantic-Congo	4.62705	7.23441	Atlantic-Congo, Volta-Congo, Benue-Congo, Igboid, Nuclear Igboid
ikaa1238	ikk	Ika Igbo	Atlantic-Congo	6.36423	6.31058	Atlantic-Congo, Volta-Congo, Benue-Congo, Igboid, Nuclear Igboid
indo1316	ind	Indonesian	Austronesian	-7.33458	109.716	Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Nuclear Malayic, Indonesian Archipelago Malay
iris1253	gle	Irish	Indo-European	53.2186	-7.61509	Indo-European, Celtic, Nuclear Celtic, TGB Celtic, Insular Celtic, Goidelic, Western Goidelic
ladi1251	lad	Istanbul Judeo-Spanish	Indo-European	41.205	28.6632	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Castilic, South Castilic
isth1244	zai	Isthmus (Juchitán) Zapotec	Otomanguean	16.4548	-94.8444	Otomanguean, Eastern Otomanguean, Popoloca-Zapotecan, Zapotecan, Zapotec, Nuclear Zapotec, Core Zapotec, Central Core Zapotec
ital1282	ita	Italian	Indo-European	43.0464	12.6489	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Italo-Dalmatian, Italian Romance
lish1246	trg	Itunyoso Trique	Afro-Asiatic	38.0	47.0	Afro-Asiatic, Semitic, West Semitic, Central Semitic, Northwest Semitic, Aramaic, Eastern Aramaic, Central Eastern Aramaic, North-Eastern Neo-Aramaic, Trans-Zab
jama1262	jam	Jamaican Creole	Indo-European	18.13	-77.2612	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English, Guinea Coast Creole English, Caribbean English Creole, Western Caribbean Creole, Jamaicanic
nucl1643	jpn	Japanese	Japonic	35.0	135.0	Japonic, Japanesic, Japan-Taiwan Japanese
jica1244	apj	Jicarilla Apache	Athabaskan-Eyak-Tlingit	36.8079	-107.007	Athabaskan-Eyak-Tlingit, Athabaskan-Eyak, Athabaskan, Apachean, Southwestern Apachean, Eastern Southwestern Apachean
kabi1261	kbp	Kabiye	Atlantic-Congo	8.96816	0.495023	Atlantic-Congo, Volta-Congo, North Volta-Congo, Gur, Central Gur, Southern Central Gur, Grusi, East-West Grusi, Eastern Grusi, Kabiyeic
kala1381	ijn	Kalabari Ijo	Ijoid	4.53194	6.69539	Ijoid, Ijo, Eastern Ijo, KaKiBa-Nkoroo, KaKiBa
brun1242	kxd	Kedayan	Austronesian	4.456045	114.429505	Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Nuclear Malayic, Borneo Malay, Southeast Borneo Malay, East Borneo Malay, Banjar-Berau-Brunei Malay, Berau-Brunei Malay
keoo1238	xxk	Keo	Austronesian	-8.8704	121.256	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Flores-Sumba-Hawu, Flores Barat, Ngada-Lio-Paluqe, Ngada-Lio, Ende-Lio, Nage-Keo
kera1255	ker	Kera	Afro-Asiatic	9.88165	15.1419	Afro-Asiatic, Chadic, East Chadic, East Chadic A, East Chadic A.3
khow1242	khw	Khowar	Indo-European	36.0	72.0	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northwestern zone, Chitral
kore1280	kor	Korean	Koreanic	37.5	128.0	Koreanic
kuna1268	kun	Kunama	Kunama	14.5879	37.5292	Kunama
stan1293	eng	Liverpool English	Indo-European	53.0	-1.0	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English
lisu1250	lis	Lizu	Sino-Tibetan	22.5488	94.0184	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Lisoid, Nuclear Lisoid, Lisu-Laluba-Lavu
shix1238	sxg	Lower Xumi	Sino-Tibetan	28.3895	100.4	Sino-Tibetan, Burmo-Qiangic, Na-Qiangic, Naic
sout2832	dik	Luanyjang Dinka	Nilotic	8.81115	28.0613	Nilotic, Western Nilotic, Dinka-Nuer, Dinka
soga1242	xog	Lusoga Lutenga	Atlantic-Congo	0.40456	33.3942	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Northeast Savanna Bantu, Great Lakes Bantu, West Nyanza, North Nyanza, Soga-Kenyi
luxe1241	ltz	Luxembourgish	Indo-European	49.6839	6.14931	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, High Franconian, Middle Franconian
fran1260	frp	Lyonnais (Francoprovencal)	Indo-European	45.8051	6.48152	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian, Oil, Francoprovencalic
besi1244	mhe	Mah Meri	Austroasiatic	2.717	101.676	Austroasiatic, Aslian, South Aslian
maka1311	mak	Makasar	Austronesian	-5.65551	119.838	Austronesian, Malayo-Polynesian, South Sulawesi, Makassaric, Nuclear Makassaric
mala1464	mal	Malayalam Namboodiri dialect	Dravidian	9.59208	76.7651	Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Irula, Tamil-Kodagu, Tamil-Malayalam, Malayalamoid
mamb1294	mcs	Mambay	Atlantic-Congo	9.6121	14.0013	Atlantic-Congo, Volta-Congo, North Volta-Congo, Cameroun-Ubangian, Mbumic, Northern Mbum, Tupuri-Mundang-Mambai
mapu1245	arn	Mapudungun	Araucanian	-38.7392	-71.277	Araucanian
mafe1237	mkv	Mavea	Austronesian	-15.4316	167.241	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Northern Vanuatu, Espiritu Santo, East Santo, Mafea-Tutuba
plau1238	pdt	Mennonite Plautdietsch	Indo-European	49.578028	-109.353868	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Altsächsisch, Middle-Modern Low German, Low German
mono1275	mnr	Mono Lake Northern Paiute	Uto-Aztecan	37.1935	-119.347	Uto-Aztecan, Northern Uto-Aztecan, Numic, Western Numic
mono1270	mnh	Mono	Atlantic-Congo	4.57915	19.8264	Atlantic-Congo, Volta-Congo, North Volta-Congo, Cameroun-Ubangian, Ubangi, Bandaic, Central Bandaic, Central Core Bandaic, Mid-Southern Central Core Bandaic
munj1244	mnj	Munji	Indo-European	35.9321	70.9404	Indo-European, Indo-Iranian, Iranian, Yidgha-Munja
stan1288	spa	Murcian Spanish	Indo-European	40.4414	-1.11788	Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Southwestern Shifted Romance, West Ibero-Romance, Castilic
nara1262	nrb	Nara	Nara	15.3251	37.499	Nara
nenn1238	nqn	Nen	Morehead-Wasur	-8.62183	142.032	Morehead-Wasur, Morehead-Maro, Nambu
nepa1254	npi	Nepali	Indo-European	27.7	85.316667	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northern zone, Eastern Pahari
stan1293	eng	New Zealand English	Indo-European	53.0	-1.0	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English
niue1239	niu	Niuean	Austronesian	-19.06	-169.86	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central Pacific linkage, Tokelau-Fijian, Polynesian, Tongic
niva1238	cag	Nivacle	Matacoan	-22.8557	-61.7606	Matacoan, Mataguayo I
yaki1237	yak	Northwest Sahaptin	Sahaptian	46.2655	-120.756	Sahaptian, Sahaptin, Northern Sahaptin
sich1238	iii	Nuosu Yi	Sino-Tibetan	28.1947	102.121	Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Ni-Li-Kazhouish, Southeastern Ngwi, Nisoid, Nuclear Nisoid, Nasu-Nosu
nuuc1236	nuk	Nuuchahnulth	Wakashan	54	-125	Wakashan, Southern Wakashan, Nootkan
phal1254	phl	Palula	Indo-European	35.5096	71.8421	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northwestern zone, Shinaic, Western Shinaic, Dangari
dari1249	prs	Persian (Farsi)	Indo-European	31.0405	67.3593	Indo-European, Indo-Iranian, Iranian, Southwestern Iranian, Middle-Modern Persian, Modern Southwestern Iranian, Farsic-Caucasian Tat, Farsic, Eastern Farsic
pitj1243	pjt	Pitjantjatjara	Pama-Nyungan	-26.9704	131.357	Pama-Nyungan, Desert Nyungic, Wati, Pintupic, Nuclear Pintupic, Wangkatja-Tjarra, Tjarra
poli1260	pol	Polish	Indo-European	51.8439	18.6255	Indo-European, Balto-Slavic, Slavic, West Slavic, Lechitic
russ1263	rus	Russian	Indo-European	59.0	50.0	Indo-European, Balto-Slavic, Slavic, East Slavic
sala1272	qxl	Salasaca Quichua	Quechuan	-1.35447	-78.3953	Quechuan, Quechua II, Quechua IIB, Colombia-Ecuador Quechua IIB
sand1273	sad	Sandawe	Sandawe	-5.26918	35.4808	Sandawe
seri1257	sei	Seri	Seri	28.9877	-112.384	Seri
tswa1253	tsn	Setswana South Africa	Atlantic-Congo	-24.368	24.7587	Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Southern Bantu-Makua, Sotho-Makua-Venda, Sotho-Makua, Sotho-Tswana (S.30), Tswanaic
wuch1236	wuu	Shanghai Chinese	Sino-Tibetan	29.8621	119.682	Sino-Tibetan, Sinitic, Classical-Middle-Modern Sinitic, Middle-Modern Sinitic, Wu-Hui Chinese
shil1265	shk	Shilluk	Nilotic	9.85472	31.7926	Nilotic, Western Nilotic, Luo-Burun, Northern Lwoo
ship1254	shp	Shipibo	Pano-Tacanan	-7.17105	-74.8219	Pano-Tacanan, Panoan, Mainline Pano, Pano Nawa, Chama subgroup, Shipibo-Konibo-Kapanawa
jebe1250	jeb	Shiwilu (Jebero)	Cahuapanan	-5.40317	-76.4103	Cahuapanan
sind1272	snd	Sindhi	Indo-European	26.0	69.0	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northwestern zone, Sindhi-Lahnda, Sindhic
slov1269	slk	Slovak	Indo-European	48.545705	18.78479	Indo-European, Balto-Slavic, Slavic, West Slavic, Czech-Slovak
slov1268	slv	Slovene	Indo-European	46.2543	14.7766	Indo-European, Balto-Slavic, Slavic, South Slavic, Western South Slavic
sout2672	psi	Southeastern Pashayi	Indo-European	34.43099	70.30351	Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northwestern zone, Pashayi, Eastern Pashayi
spok1245	spo	Spokane	Salishan	47.9087	-118.062	Salishan, Interior Salish, Southern Interior Salish, Kalispel-Spokane
bava1246	bar	Standard Austrian German	Indo-European	47.9232	13.246	Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle-Modern High German, Modern High German, Alpine Germanic, Bayerisch
mand1415	cmn	Standard Chinese (Beijing)	Sino-Tibetan	40.0209	116.228	Sino-Tibetan, Sinitic, Classical-Middle-Modern Sinitic, Middle-Modern Sinitic, Northern Chinese, Mandarinic
nucl1302	kat	Standard Georgian	Kartvelian	41.850397	43.78613	Kartvelian, Georgian-Zan, Georgic
stan1306	zsm	Standard Malay (Brunei)	Austronesian	3.08896	101.699	Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Nuclear Malayic, Indonesian Archipelago Malay
mode1248	ell	Standard Modern Greek	Indo-European	42.3224	24.8699	Indo-European, Graeco-Phrygian, Greek, East Greek, Koineic Greek
east2295	ydd	Standard Yiddish	Indo-European	51.75	19.42	Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle-Modern High German, Modern High German, Yiddish
sumi1235	nsm	Sumi (Sema)	Sino-Tibetan	25.9996	94.4235	Sino-Tibetan, Kuki-Chin-Naga, Naga, Angami-Ao, Angami-Pochuri, Rengma-Simi
swed1254	swe	Swedish	Indo-European	59.800634	17.389526	Indo-European, Germanic, Northwest Germanic, North Germanic, North Scandinavian, East-Central Swedic, East Swedic
east2440	mky	Taba	Austronesian	0.07337	127.423	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Greater SHWNG, South Halmahera-West New Guinea, Raja Ampat-South Halmahera, South Halmahera, East Makian-Gane
malo1243	mla	Tamambo	Austronesian	-15.6835	167.16	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Northern Vanuatu, Espiritu Santo, East Santo
tami1289	tam	Tamil	Dravidian	10.520219	78.825989	Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Irula, Tamil-Kodagu, Tamil-Malayalam, Tamiloid, Tamil-Paliyan
tach1250	shi	Tashlhiyt Berber	Afro-Asiatic	29.7854	-7.77879	Afro-Asiatic, Berber, Kabyle-Atlas Berber, Atlas Berber
taus1251	tsg	Tausug (Suluk)	Austronesian	5.12236	118.88	Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bisayan, South Bisayan, Butuan-Tausug
tepe1278	tep	Telugu	Uto-Aztecan	19.2343	-101.729	Uto-Aztecan, Southern Uto-Aztecan, Tepiman, Tepehuan, Southern Tepehuan
timn1235	tem	Temne	Atlantic-Congo	8.90294	-12.3331	Atlantic-Congo, Mel, Northern Mel
tena1240	quw	Tena Quichua	Quechuan	-0.76271	-77.5404	Quechuan, Quechua II, Quechua IIB, Colombia-Ecuador Quechua IIB
tera1251	ttr	Tera	Afro-Asiatic	11.0376	11.80953	Afro-Asiatic, Chadic, Biu-Mandara, South Biu-Mandara, Teraic, Western Tera
thai1261	tha	Thai	Tai-Kadai	14.192	100.671	Tai-Kadai, Kam-Tai, Be-Tai, Daic, Central-Southwestern Tai, Wenma-Southwestern Tai, Sapa-Southwestern Tai, Southwestern Tai, Southwestern Thai PH, Lao-Thai
tilq1235	zts	Tilquiapan Zapotec	Otomanguean	16.8529	-96.6321	Otomanguean, Eastern Otomanguean, Popoloca-Zapotecan, Zapotecan, Zapotec, Nuclear Zapotec, Core Zapotec, Central Core Zapotec
tuka1248	khc	Tukang Besi	Austronesian	-5.30994	123.578	Austronesian, Malayo-Polynesian, Celebic, Eastern Celebic, Southeastern Celebic, Muna-Buton, Tukangbesi-Bonerate, Tukang Besi
nucl1301	tur	Turkish	Turkic	39.8667	32.8667	Turkic, Common Turkic, Oghuz, Nuclear Oghuz, West Oghuz
stan1293	eng	Tyneside English	Indo-European	53.0	-1.0	Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English
ukra1253	ukr	Ukrainian	Indo-European	48.175842	24.395786	Indo-European, Balto-Slavic, Slavic, East Slavic, Ukrainian-Rusyn
uppe1400	sxu	Upper Saxon (Chemnitz dialect)	Indo-European	51.152	12.692	Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, High Franconian, Rhine Franconian
uppe1395	hsb	Upper Sorbian	Indo-European	51.2403	14.4098	Indo-European, Balto-Slavic, Slavic, West Slavic, Sorbian
shix1238	sxg	Upper Xumi	Sino-Tibetan	28.3895	100.4	Sino-Tibetan, Burmo-Qiangic, Na-Qiangic, Naic
yine1238	pib	Yine	Arawakan	-11.1086	-73.3087	Arawakan, Southern Maipuran, Purus, Piroic
