Language	Alpha	Sigma	Xmin	vsExp.R	vsExp.P	vsLN.R	vsLN.P	vsTPL.R	vsTPL.P
Tera	1.968	0.198	6	0.450	0.653	-0.922	0.356	-1.064	0.131
Italian	2.380	0.317	13	0.303	0.762	-0.506	0.613	-0.061	0.662
Isthmus (Juchitán) Zapotec	2.477	0.492	14	0.407	0.684	-0.325	0.745	-0.474	0.563
Tyneside English	2.161	0.247	7	0.928	0.353	-0.554	0.579	-0.768	0.346
Itunyoso Trique	2.139	0.233	9	0.363	0.717	-0.899	0.369	-1.107	0.162
Seri	3.353	0.890	56	1.347	0.178	-1.072	0.284	-0.015	0.992
Sumi (Sema)	4.139	1.186	34	1.736	0.083	-0.942	0.346	0.000	1.000
Hebrew	2.419	0.296	12	1.021	0.307	-0.578	0.563	-0.821	0.384
Dutch	2.210	0.252	8	0.818	0.414	-0.532	0.595	-0.732	0.342
Standard Yiddish	3.426	0.731	26	0.859	0.390	-0.058	0.954	-0.145	0.905
Korean	2.900	0.527	16	-0.082	0.935	-0.370	0.711	-0.542	0.410
Croatian	3.657	0.939	27	0.722	0.470	-0.009	0.993	-0.108	0.915
Telugu	2.571	0.393	13	0.475	0.635	-0.259	0.795	-0.504	0.469
Slovak	3.475	0.825	23	1.519	0.129	-1.059	0.289	0.000	1.000
Polish	3.371	0.684	18	1.217	0.224	-0.975	0.330	0.000	1.000
Chicahuaxtla Triqui	2.388	0.401	18	-0.206	0.837	-0.634	0.526	-0.719	0.310
Luanyjang Dinka	3.541	0.847	22	4.547	0.000	-1.014	0.311	0.000	1.000
Mono	2.238	0.300	8	1.899	0.058	-0.084	0.933	-0.398	0.710
Belgian Limburg dialect of Hamont	1.911	0.161	3	1.001	0.317	-0.808	0.419	-1.053	0.143
